Ingredient,Tag
Aldehyde,ingr:aldehyde
Almond,ingr:amandel
Amber,ingr:amber
Ambergris,ingr:ambergris
Ambrette seed,ingr:ambrettezaad
Ambroxan,ingr:ambroxan
Benzoin,ingr:benzoine
Bergamot,ingr:bergamot
Birch tar,ingr:berkenteer
Cedarwood,ingr:cederhout
Chocolate,ingr:chocolade
Lemon,ingr:limoen
Oak moss,ingr:eikenmos
Galbanum,ingr:galbanum
Gardenia,ingr:gardenia
Ginger,ingr:gember
Geranium,ingr:geranium
Heliotrope,ingr:heliotroop
Iris,ingr:iris
Iso-E Super,ingr:Iso-E Super
Jasmine,ingr:jasmijn
Coconut,ingr:kokos
Labdanum,ingr:labdanum
Lavender,ingr:lavendel
Leather,ingr:leer
Lime,ingr:limoen
Magnolia,ingr:magnolia
Mango,ingr:mango
Melon,ingr:meloen
Mimosa,ingr:mimosa
Myrrh,ingr:mirre
Mousse De Saxe,ingr:mousse de saxe
Musk,ingr:musk
Narcissus,ingr:narcis
Neroli,ingr:neroli
Orange blossom,ingr:oranjebloesem
Osmanthus,ingr:osmanthus
Oud,ingr:oud
Patchouli,ingr:patchouli
Pepper,ingr:peper
Petitgrain,ingr:petitgrain
Rose,ingr:roos
Sandalwood,ingr:sandelhout
Lilacs,ingr:seringen
Tobacco,ingr:tabak
Tonka,ingr:tonka
Tuberose,ingr:tuberose
Vanilla,ingr:vanille
Vetiver,ingr:vetiver
Fig,ingr:vijg
Violets,ingr:viooltjes
Incense,ingr:wierook
Yuzu,ingr:yuzu
