Handle,Title,Vendor,Type,Collection,Tag,Price,Image
parfum-d-empire-eau-suave-eau-de-parfum,Eau Suave,Parfum d Empire,eau de parfum,"marc-antoine-corticchiato-collection, musk, peper, framboos, elegant-feminine-dandy, iconische-chypres, framboos-collection, parfum-d-empire, parfums, geurfamilie-chypre, geurfamilie-bloemig, eau-de-parfum, france, all-collections, totaal-overzicht, patchouli, flexify","chypre, Familie:chypre, Familie:floral, floral, ingr:musk, ingr:patchouli, ingr:peper, ingr:roos, ingr:vanille, longevity-middel, Merk:Parfum d Empire, met sample, ProductBackground:background-chypre-med, ProductBackground:background-floral-med, Related:chypre, Related:floral, Soort:eau de parfum",47.89,https://cdn.shopify.com/s/files/1/1323/9877/products/Parfum-d-Empire-eau-suave-50-ml-perfume-lounge_600x600_62431447-83a2-4e02-a6e5-018291b86163.jpg?v=1576943377
parfum-d-empire-equistrius,Equistrius,Parfum d Empire,eau de parfum,"iris, marc-antoine-corticchiato-collection, ambrette-zaad, chocolade, viooltjes, zakelijk-en-subtiel, elegant-feminine-dandy, phines-keuze-oktober-2018, ambrettezaad-collection, iris-collection, parfum-d-empire, parfums, geurfamilie-bloemig, eau-de-parfum, france, all-collections, totaal-overzicht, amber, flexify","Familie:floral, floral, ingr:amber, ingr:ambrettezaad, ingr:chocolade, ingr:iris, ingr:sandelhout, ingr:vetiver, longevity-middel, Merk:Parfum d Empire, met sample, ProductBackground:background-floral-med, Related:floral, Soort:eau de parfum",56.41,https://cdn.shopify.com/s/files/1/1323/9877/products/equistrius-eau-de-parfum-parfum-d-empire-100-ml-perfume-lounge.png?v=1555510308
parfum-d-empire-fougere-bengale-eau-de-parfum,Fougere Bengale,Parfum d Empire,eau de parfum,"geurfamilie-rokerig-droog, voor-de-man, marc-antoine-corticchiato-collection, geranium, lavendel, tabak, tonkaboon, iconische-parfums, parfum-d-empire, parfums, geurfamilie-fougere, eau-de-parfum, france, all-collections, totaal-overzicht, patchouli, flexify","Familie:fougere, fougere, ingr:geranium, ingr:lavendel, ingr:patchouli, ingr:tabak, ingr:tonka, ingr:vanille, longevity-middel, Merk:Parfum d Empire, met sample, ProductBackground:background-fougere-light, Related:fougere, Soort:eau de parfum",65.73,https://cdn.shopify.com/s/files/1/1323/9877/products/fougere-bengale-eau-de-parfum-parfum-d-empire-100-ml-perfume-lounge.png?v=1555510319
parfum-d-empire-iskander-eau-de-parfum,Iskander,Parfum d Empire,eau de parfum,"marc-antoine-corticchiato-collection, ontdek-de-musk-geurfamilie, verfrissend-optimistisch, parfum-d-empire, parfums, geurfamilie-fris-citrus, ontdek-de-frisse-geurfamilies, eau-de-parfum, france, all-collections, totaal-overzicht, neroli-collection, amber, flexify","citrus, Familie:citrus, ingr:amber, ingr:musk, ingr:oranjebloesem, longevity-middel, Merk:Parfum d Empire, met sample, ProductBackground:background-citrus-med, Related:citrus, Soort:eau de parfum",42.25,https://cdn.shopify.com/s/files/1/1323/9877/products/PE-iskander-Square-Plongee-Print.jpg?v=1601841928
parfum-d-empire-musc-tonkin-extrait,Musc Tonkin extrait,Parfum d Empire,extrait de parfum,"geurfamilie-amber-sensueel, marc-antoine-corticchiato-collection, musk, zoutig, ontdek-de-musk-geurfamilie, verleidelijk-en-sensueel, mysterieus-donker, skanky-lekker-viezig, ambernn, parfum-d-empire, parfums, parfums-extrait-de-parfums, france, all-collections, totaal-overzicht, amber, flexify","amber, Familie:amber, Familie:musk, ingr:amber, ingr:leer, ingr:musk, ingr:oud, longevity-lang, Merk:Parfum d Empire, met sample, musk, ProductBackground:background-amber-med.png, Related:amber, Related:musk, Soort:extrait de parfum",75.65,https://cdn.shopify.com/s/files/1/1323/9877/products/Parfum-d-Empire-musc-tonkin-50-ml-perfume-lounge_600x600_a578ff96-25ba-4367-8f3d-6b5288150fe1.jpg?v=1576943534
parfum-d-empire-osmanthus-interdite-eau-de-parfum,Osmanthus Interdite,Parfum d Empire,eau de parfum,"osmanthus, marc-antoine-corticchiato-collection, osmanthus-collection, parfum-d-empire, parfums, geurfamilie-bloemig, eau-de-parfum, france, all-collections, totaal-overzicht, flexify","Familie:floral, floral, ingr:jasmijn, ingr:musk, ingr:osmanthus, ingr:roos, longevity-middel, Merk:Parfum d Empire, met sample, ProductBackground:background-floral-med, Related:floral, Soort:eau de parfum",56.41,https://cdn.shopify.com/s/files/1/1323/9877/products/osmanthus-interdite-eau-de-parfum-parfum-d-empire-100-ml-perfume-lounge.png?v=1555510355
parfum-d-empire-tabac-tabou-extrait-de-parfum,Tabac Tabou 2016,Parfum d Empire,extrait de parfum,"geurfamilie-rokerig-droog, voor-de-man, marc-antoine-corticchiato-collection, top-10-avant-garde-parfums, narcis, tabak, drop, everlasting, skanky-lekker-viezig, tabak-collection, parfum-d-empire, parfums, geurfamilie-orientaals, parfums-extrait-de-parfums, france, totaal-overzicht, flexify","Familie:oriental, ingr:leer, ingr:narcis, ingr:tabak, ingr:vanille, longevity-lang, Merk:Parfum d Empire, met sample, oriental, ProductBackground:background-oriental-light, Related:oriental, Related:Tabak, Soort:extrait de parfum",74.65,https://cdn.shopify.com/s/files/1/1323/9877/products/Parfum-d-Empire-tabac-tabou-50-ml-perfume-lounge_600x600_076304f9-a2e9-4731-b0f3-06535cdaf711.jpg?v=1576943717
parfum-d-empire-wazamba-eau-de-parfum,Wazamba,Parfum d Empire,eau de parfum,"geurfamilie-amber-sensueel, marc-antoine-corticchiato-collection, mirre, mirre-collection, layering-live-stream-mei-2020, ambernn, parfum-d-empire, parfums, eau-de-parfum, france, all-collections, totaal-overzicht, amber, flexify","amber, Familie:amber, generic_channable, ingr:sandelhout, ingr:yuzu, longevity-middel, Merk:Parfum d Empire, met sample, ProductBackground:background-amber-med.png, Related:amber, Soort:eau de parfum",50.70,https://cdn.shopify.com/s/files/1/1323/9877/products/Parfum-d-Empire-wazamba-50-ml-perfume-lounge_600x600_5a96cacc-2086-41f8-a0e6-2109206ea60e.jpg?v=1576943791
parfum-d-empire-yuzu-fou-eau-de-parfum,Yuzu Fou,Parfum d Empire,eau de parfum,"marc-antoine-corticchiato-collection, cederhout, yuzu, zomers-exotisch, verfrissend-optimistisch, phines-keuze-verrassend-verfrissend, layering-live-stream-mei-2020, parfum-d-empire, parfums, geurfamilie-fris-citrus, ontdek-de-frisse-geurfamilies, eau-de-parfum, france, all-collections, totaal-overzicht, neroli-collection, flexify","citrus, Familie:citrus, ingr:cederhout, ingr:musk, ingr:oranjebloesem, ingr:yuzu, longevity-middel, Merk:Parfum d Empire, met sample, ProductBackground:background-citrus-med, Related:citrus, Soort:eau de parfum",42.25,https://cdn.shopify.com/s/files/1/1323/9877/products/Parfum-d-Empire-yuzu-fou-50-ml-perfume-lounge_600x600_f9ae7b9d-b781-4f21-b767-6706d84d338a.jpg?v=1576943943
parfumerie-generale-aomassai,10 Aomassai,Pierre Guillaume Paris,eau de parfum,"cashmeran, karamel, drop, feestelijk-vrolijk, karamel-collection, pierre-guillaume-paris, parfums, eau-de-parfum, france, all-collections, totaal-overzicht, geurfamilie-gourmand, flexify, pierre-guillaume-collection","caramel, cashmeran, Familie:gourmand, gourmand, ingr:peper, ingr:roos, ingr:vetiver, longevity-middel, Merk:Pierre Guillaume Paris, met sample, nuts, Pierre Guillaume, pink pepper, ProductBackground:background-gourmand-light, Related:gourmand, Related:PG, resins, Soort:eau de parfum",37.10,https://cdn.shopify.com/s/files/1/1323/9877/products/aomassai-eau-de-parfum-pierre-guillaume-paris-100-ml-perfume-lounge.jpg?v=1554731274
parfumerie-generale-bouquet-massai,10.1 Bouquet Massai,Pierre Guillaume Paris,eau de parfum,"magnolia, musk, cashmeran, gardenia, koffie, sandelhout-collection, cashmeran-collection, gardenia-collection, koffie-collection, pierre-guillaume-paris, parfums, geurfamilie-orientaals-bloemig, eau-de-parfum, france, all-collections, totaal-overzicht, flexify, pierre-guillaume-collection","cashmeran, coffee, Familie:floriental, floraloriental, ingr:gardenia, ingr:jasmijn, ingr:magnolia, ingr:musk, ingr:roos, ingr:sandelhout, longevity-middel, magnolia, Merk:Pierre Guillaume Paris, met sample, Pierre Guillaume, ProductBackground:background-floriental-med.png, Related:floriental, Related:PG, resins, sandalwood, Soort:eau de parfum",37.10,https://cdn.shopify.com/s/files/1/1323/9877/products/bouquet-massai-eau-de-parfum-pierre-guillaume-paris-100-ml-perfume-lounge.jpg?v=1554731293
