Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
douleur-2-sample,Douleur-2 - sample,<p> </p>,Bogue Profumo,sample,"Merk:Bogue Profumo, sample, Soort:sample",true,Size,1 ml,,,,,BP10005S,1.0,,0,deny,manual,5.00,,true,false,,https://cdn.shopify.com/s/files/1/1323/9877/products/1_ml_sample_no_cap_PDP_logo_e03bc4aa-f5d0-436c-8255-09d9000b7f25.jpg?v=1604591133,1,,false,Bogue Profumo - Douleur - Perfume Lounge,"De nieuwe parfum van Antonio Gardoni, Douleur voor Bogue Profumo een spannende creatie in samenwerking met een tattoo artist. Bestel veilig online of kom langs.",,,,,,,,,,,,,,,g,,,active
caron-vetiver-infini-sample,Vetiver Infini - sample,"",Caron,sample,"Merk:Caron, sample, Soort:sample",false,Inhoud,"1,5 ml",,,,,"",1.0,,0,deny,manual,5.00,,true,true,"",https://cdn.shopify.com/s/files/1/1323/9877/products/1_5mlsamplenocapPDPlogo_f3d0215f-893a-42cc-8c94-9b5c563dc123.jpg?v=1604575145,1,,false,Vetiver Infini - Parfums Caron - Perfume Lounge,"Parfums Caron is een klassiek parfumhuis uit 1906, een reeks klassiekers en sinds kort ook een huisparfumeur. Ontdek de nieuwe collectie van Caron.",,,,,,,,,,,,,,,g,,4.00,draft
caron-tabac-exquis-sample,Tabac Exquis - sample,"<meta charset=""utf-8""><meta charset=""utf-8"">
<p> </p>",Caron,sample,"Merk:Caron, sample, Soort:sample",false,Inhoud,"1,5 ml",,,,,"",1.0,,0,deny,manual,5.00,,true,true,"",https://cdn.shopify.com/s/files/1/1323/9877/products/1_5mlsamplenocapPDPlogo_02d559d5-6875-4deb-b3c2-f1afaf85b429.jpg?v=1604575038,1,,false,Tabac Exquis - Parfums Caron - Perfume Lounge,"Parfums Caron is een klassiek parfumhuis uit 1906, een reeks klassiekers en sinds kort ook een huisparfumeur. Ontdek de nieuwe collectie van Caron.",,,,,,,,,,,,,,,g,,4.00,draft
caron-santal-precieux-sample,Santal Precieux - sample,"<meta charset=""utf-8""><meta charset=""utf-8"">
<p> </p>",Caron,sample,"Merk:Caron, sample, Soort:sample",false,Inhoud,"1,5 ml",,,,,"",1.0,,0,deny,manual,5.00,,true,true,"",https://cdn.shopify.com/s/files/1/1323/9877/products/1mlsamplenocapPDPlogo_03270b12-00b2-4eb2-834a-cda26d645c58.jpg?v=1604574947,1,,false,Santal Precieux - Parfums Caron - Perfume Lounge,"Parfums Caron is een klassiek parfumhuis uit 1906, een reeks klassiekers en sinds kort ook een huisparfumeur. Ontdek de nieuwe collectie van Caron.",,,,,,,,,,,,,,,g,,4.00,draft
caron-narcisse-blanc-sample,Narcisse Blanc - sample,"<meta charset=""utf-8""><meta charset=""utf-8"">
<p data-mce-fragment=""1""> </p>",Caron,sample,"Merk:Caron, sample, Soort:sample",false,Inhoud,"1,5 ml",,,,,"",1.0,,0,deny,manual,5.00,,true,true,"",https://cdn.shopify.com/s/files/1/1323/9877/products/1_5mlsamplenocapPDPlogo_b82b7bb1-fb41-4cfb-8e8a-6adca5aaa94f.jpg?v=1604574900,1,,false,Narcisse Blanc - Parfums Caron - Perfume Lounge,"Parfums Caron is een klassiek parfumhuis uit 1906, een reeks klassiekers en sinds kort ook een huisparfumeur. Ontdek de nieuwe collectie van Caron.",,,,,,,,,,,,,,,g,,4.00,draft
caron-narcisse-blanc,Narcisse Blanc,"<meta charset=""utf-8""><meta charset=""utf-8"">
<p><strong>Orange blossom, Caron’s ever-present source of inspiration, meets one of the loveliest ingredients of modern perfumery: cashmeran.</strong></p>
<p>It is a kaleidoscope of extraordinary ingredients with a composition that reveals multiple faces of orange blossom simultaneously, as the two sides of a coin. Tails: a bright cocktail of bergamot, orange, and petitgrain underscores the vibrant sparkle of its green, floral nuances. Heads: cashmeran locks with narcissus absolute and vanilla to underscore its suave nature and envelop it in a tender cocoon.</p>
<p>This perfume feels like a tender and fresh sparkle - yet the blend of cashmeran, narcissus absolute and vanilla give it a cocoon like warm enveloping embrace.<br><br>Narcisse Blanc doesn’t shout; it whispers elegantly and invitingly.</p>
<h2>Ingrediënten</h2>
<p>Oranje bloesem, narcis, cashmeran, bergamot, sinaasappel, petitgrain, vanille<br></p>
<h2>Parfumeur</h2>
<p>Jean Jacques</p>",Caron,eau de parfum,"Familie:floral, Familie:softfloral, ingr:aldehyde, ingr:bergamot, ingr:kokos, ingr:narcis, ingr:oranjebloesem, ingr:petitgrain, ingr:vanille, leather floral, Merk:Caron, met sample, ProductBackground:background-floral-med, ProductBackground:background-oriental-light, ProductBackground:background-softfloral-light, Related:floral, Related:softfloral, softfloral, Soort:eau de parfum",false,Inhoud,50 ml,,,,,,50.0,shopify,0,deny,manual,150.00,,true,true,,https://cdn.shopify.com/s/files/1/1323/9877/products/600x600NarcisseBlancCaron100ml.jpg?v=1604573977,1,,false,Narcisse Blanc - Parfums Caron - Perfume Lounge,"Parfums Caron is een klassiek parfumhuis uit 1906, een reeks klassiekers en sinds kort ook een huisparfumeur. Ontdek de nieuwe collectie van Caron.",,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1323/9877/products/600x600NarcisseBlancCaron50ml.jpg?v=1604573977,g,,69.44,draft
caron-narcisse-blanc,,,,,,,,100 ml,,,,,,100.0,shopify,0,deny,manual,220.00,,true,true,,https://cdn.shopify.com/s/files/1/1323/9877/products/CARON_VISUEL_NARCISSEBLANC_LR.jpg?v=1604573977,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1323/9877/products/600x600NarcisseBlancCaron100ml.jpg?v=1604573977,g,,101.85,
caron-narcisse-blanc,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1323/9877/products/600x600NarcisseBlancCaron50ml.jpg?v=1604573977,3,,,,,,,,,,,,,,,,,,,,,,
caron-tabac-exquis,Tabac Exquis,"<meta charset=""utf-8""><meta charset=""utf-8"">
<p><strong>A generous, enveloping scent that pushes the warmest facets of tobacco absolute and chocolate</strong></p>
<p>Tabac Exquis is a generous, enveloping scent that pushes the warmest facets of tobacco absolute and chocolate to the extreme, playing on the unbeatable olfactory complexity of these two noble ingredients.</p>
<h2>Ingrediënten</h2>
<p>Tobacco absolute, chocolate, <meta charset=""utf-8""><span data-mce-fragment=""1"">coumarin, kruiden</span><br></p>
<h2>Parfumeur</h2>
<p>Jean Jacques</p>",Caron,eau de parfum,"chocolate, Familie:oriental, ingr:chocolade, ingr:tabak, Merk:Caron, met sample, ProductBackground:background-oriental-light, Related:oriental, Soort:eau de parfum",false,Inhoud,50 ml,,,,,,50.0,shopify,0,deny,manual,150.00,,true,true,,https://cdn.shopify.com/s/files/1/1323/9877/products/600x600TabacExquisCaron100ml.jpg?v=1604575376,1,,false,Tabac Exquis - Parfums Caron - Perfume Lounge,"Parfums Caron is een klassiek parfumhuis uit 1906, een reeks klassiekers en sinds kort ook een huisparfumeur. Ontdek de nieuwe collectie van Caron.",,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1323/9877/products/600x600TabacExquisCaron50ml.jpg?v=1604575376,g,,69.44,draft
caron-tabac-exquis,,,,,,,,100 ml,,,,,,100.0,shopify,0,deny,manual,220.00,,true,true,,https://cdn.shopify.com/s/files/1/1323/9877/products/CARON_VISUEL_TABACEXQUIS_LR.jpg?v=1604575376,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1323/9877/products/600x600TabacExquisCaron100ml.jpg?v=1604575376,g,,101.85,
